[DRIVER]: PIA [PRED]: [[1.41]] [BIAS]: [10.5108]
---                                 Input Value  Feature Score
driverId_857.0-strt_len_median      4.358899      -2.687423
driverId_857.0-num_slow_corners     4.358899      -2.492243
driverId_857.0-corner_spd_min       4.358899      -2.358699
driverId_857.0-avg_track_spd        4.358899      -1.896470
driverId_860.0-num_slow_corners    -0.229416      -0.032979
driverId_842.0-num_slow_corners    -0.229416      -0.031917
driverId_859.0-num_fast_corners    -0.229416      -0.010784
driverId_852.0-num_med_corners     -0.229416      -0.010587
driverId_844.0-strt_len_min        -0.229416      -0.006484
driverId_832.0-strt_len_median     -0.229416      -0.005034
driverId_860.0-num_med_corners     -0.229416      -0.004837
driverId_1.0-strt_len_min          -0.229416      -0.002468
driverId_807.0-num_fast_corners    -0.229416       0.002843
driverId_844.0-num_fast_corners    -0.229416       0.003788
driverId_862.0-num_med_corners     -0.229416       0.004267
driverId_859.0-num_slow_corners    -0.229416       0.004393
driverId_840.0-num_slow_corners    -0.229416       0.006819
driverId_848.0-num_fast_corners    -0.229416       0.008916
driverId_1.0-num_fast_corners      -0.229416       0.014827
driverId_4.0-num_slow_corners      -0.229416       0.015922
driverId_830.0-strt_len_min        -0.229416       0.016667
driverId_846.0-strt_len_min        -0.229416       0.022617
driverId_847.0-num_fast_corners    -0.229416       0.023012
driverId_830.0-num_fast_corners    -0.229416       0.024288
driverId_846.0-num_fast_corners    -0.229416       0.038213
driverId_847.0-num_slow_corners    -0.229416       0.052886
driverId_844.0-num_med_corners     -0.229416       0.055857
driverId_846.0-num_med_corners     -0.229416       0.143808

[DRIVER]: VER [PRED]: [[3.96]] [BIAS]: [10.5108]
---                                 Input Value  Feature Score
driverId_830.0-num_fast_corners     4.358899      -4.251176
driverId_830.0-strt_len_min         4.358899      -3.144043
driverId_830.0-num_med_corners      4.358899      -0.625072
driverId_842.0-num_slow_corners    -0.229416      -0.063271
driverId_860.0-num_slow_corners    -0.229416      -0.054757
driverId_860.0-num_med_corners     -0.229416      -0.027494
driverId_859.0-num_fast_corners    -0.229416      -0.023991
driverId_852.0-num_med_corners     -0.229416      -0.017517
driverId_1.0-strt_len_min          -0.229416      -0.013396
driverId_832.0-strt_len_median     -0.229416      -0.011545
driverId_839.0-num_med_corners     -0.229416      -0.009255
driverId_862.0-num_fast_corners    -0.229416      -0.008886
driverId_861.0-num_fast_corners    -0.229416      -0.007078
driverId_852.0-num_fast_corners    -0.229416      -0.001957
driverId_844.0-strt_len_min        -0.229416      -0.001321
driverId_864.0-num_fast_corners    -0.229416      -0.000787
driverId_839.0-num_fast_corners    -0.229416       0.002619
driverId_842.0-strt_len_min        -0.229416       0.002852
driverId_848.0-num_slow_corners    -0.229416       0.002950
driverId_844.0-num_fast_corners    -0.229416       0.005465
driverId_848.0-num_med_corners     -0.229416       0.005510
driverId_852.0-strt_len_min        -0.229416       0.006956
driverId_4.0-num_fast_corners      -0.229416       0.007901
driverId_860.0-num_fast_corners    -0.229416       0.009436
driverId_1.0-num_med_corners       -0.229416       0.010548
