team_comps,price,score,max_score,projected_gain,pred_score,weight,ensemble_score,centered_pred,centered_score,centered_gain,avg_value,pred_avg_value,team_diffs
"frozenset({'HUL', 'VER', 'RUS', 'ALO', 'WIL', 'KCK', 'BOR'})",94.2,106.10000000000002,22.0,0.32999999999999996,17.0,0.55,61.55000000000001,-0.12448214221177281,0.4486590157339902,0.1302503185988984,0.2576137974529351,0.028357334274629907,2
"frozenset({'PIA', 'HUL', 'RUS', 'WIL', 'HAD', 'KCK', 'BOR'})",91.39999999999999,138.82580000000002,33.4,0.09999999999999998,37.0,0.887,87.91290000000001,0.2577544087225647,1.014816044160031,-0.13101484162899768,0.3273175126866138,0.02449285851162729,2
"frozenset({'PIA', 'HUL', 'ALO', 'WIL', 'HAD', 'KCK', 'BOR'})",75.3,125.8258,33.4,0.29999999999999993,19.0,0.887,72.41290000000001,-0.08625848711833907,0.7899157706896026,0.09617225422134672,0.37366966080864905,0.023199957685472394,2
"frozenset({'MCL', 'ALB', 'RUS', 'ALO', 'HAD', 'KCK', 'BOR'})",92.79999999999998,155.6,20.2,-0.2799999999999999,70.0,1.0,112.8,0.8884447177642215,1.3050100570252343,-0.562670323744652,0.18440182856330256,0.017775692858897463,2
"frozenset({'HUL', 'RUS', 'ALO', 'WIL', 'HAD', 'MCL', 'BOR'})",97.4,146.5,22.0,-0.25,67.0,0.55,106.75,0.8311092351240709,1.147579865595935,-0.5285922593671004,0.1418765906181138,0.015288338429368109,2
"frozenset({'VER', 'MCL', 'RUS', 'DOO', 'ALO', 'KCK', 'BOR'})",103.89999999999999,74.00000000000001,20.2,0.6199999999999999,-11.0,1.0,31.500000000000007,-0.6596133135198454,-0.106671659527605,0.45967160758189773,0.2331343007380966,0.011957639141200405,2
"frozenset({'PIA', 'MCL', 'RUS', 'DOO', 'HAD', 'KCK', 'BOR'})",101.1,98.6258,33.4,0.3899999999999999,9.0,0.887,53.8129,-0.2773767625855078,0.3193551985053227,0.19840644735400167,0.2467859478145301,0.008093163378197876,2
"frozenset({'RB', 'ANT', 'HUL', 'RUS', 'ALO', 'KCK', 'BOR'})",79.6,103.29999999999998,22.0,0.3,17.0,0.55,60.14999999999999,-0.12448214221177281,0.40021895683266656,0.09617225422134677,0.2177909352658747,0.007910495648098932,2
"frozenset({'PIA', 'MCL', 'DOO', 'ALO', 'HAD', 'KCK', 'BOR'})",85.0,85.6258,33.4,0.5899999999999999,-9.0,0.887,38.3129,-0.6213896584264117,0.09445492503489478,0.42559354320434606,0.2931380959365656,0.006800262552042968,2
"frozenset({'MCL', 'RUS', 'ALO', 'HAD', 'KCK', 'SAI', 'BOR'})",88.69999999999999,163.2,20.2,-0.2799999999999999,68.0,1.0,115.6,0.8502210626707878,1.4364902169002538,-0.562670323744652,0.23699389251331038,0.0024862308215239937,2
"frozenset({'RB', 'PIA', 'ALB', 'RUS', 'ALO', 'KCK', 'BOR'})",91.10000000000001,127.4258,33.4,-0.030000000000000027,44.0,0.887,85.71289999999999,0.3915372015495828,0.8175958043475013,-0.2786864539317216,0.1598264493799676,-0.010596991739199813,2
"frozenset({'RB', 'PIA', 'HUL', 'RUS', 'ALO', 'WIL', 'BOR'})",95.7,126.42580000000001,33.4,1.1102230246251565e-16,41.0,0.887,83.7129,0.33420171890943223,0.8002957833113149,-0.24460838955416975,0.17335327959202415,-0.013084346168728944,2
"frozenset({'PIA', 'RUS', 'DOO', 'ALO', 'ALP', 'KCK', 'BOR'})",77.0,33.22579999999999,33.4,1.05,-54.0,0.887,-10.387100000000004,-1.481421898028671,-0.8120661772612916,0.9481238636601385,0.24404784729156637,-0.023694441015385426,2
"frozenset({'RB', 'PIA', 'RUS', 'ALO', 'KCK', 'SAI', 'BOR'})",87.0,135.0258,33.4,-0.030000000000000027,42.0,0.887,88.5129,0.3533135464561491,0.9490759642225209,-0.2786864539317216,0.21241851332997547,-0.02588645377657331,2
"frozenset({'RB', 'HUL', 'RUS', 'ALO', 'HAD', 'KCK', 'BOR'})",68.8,108.9,22.0,0.3399999999999999,9.0,0.55,58.95,-0.2773767625855078,0.49709907463531283,0.14160967339141559,0.2838054338889745,-0.02598490099935377,2
"frozenset({'RB', 'PIA', 'RUS', 'DOO', 'ALO', 'MCL', 'BOR'})",105.4,86.22579999999999,33.4,0.29000000000000004,13.0,0.887,49.612899999999996,-0.20092945239864032,0.10483493765660673,0.08481289942882961,0.09282171471994047,-0.029484041302158363,2
"frozenset({'ANT', 'HUL', 'MCL', 'RUS', 'DOO', 'KCK', 'BOR'})",94.5,64.1,22.0,0.6799999999999999,-22.0,0.55,21.049999999999997,-0.8698434165337311,-0.2779418677858543,0.5278277363370011,0.20551989468785892,-0.03124072481129181,2
"frozenset({'ANT', 'HUL', 'MCL', 'DOO', 'ALO', 'KCK', 'BOR'})",78.4,51.100000000000016,22.0,0.88,-40.0,0.55,5.550000000000008,-1.2138563123746349,-0.5028421412562818,0.7550148321873457,0.25187204280989467,-0.03253362563744655,2
"frozenset({'PIA', 'HUL', 'ALB', 'RUS', 'WIL', 'KCK', 'BOR'})",96.3,128.42579999999998,33.4,0.05999999999999994,33.0,0.887,80.71289999999999,0.1813070985356972,0.8348958253836879,-0.17645226079906662,0.22808697367403524,-0.03334851706516109,2
"frozenset({'PIA', 'HUL', 'ALB', 'ALO', 'WIL', 'KCK', 'BOR'})",80.2,115.42580000000001,33.4,0.2600000000000001,15.0,0.887,65.2129,-0.16270579730520657,0.6099955519132605,0.050734835051278036,0.274439121796071,-0.034641417891315814,2
"frozenset({'HUL', 'ALB', 'RUS', 'ALO', 'WIL', 'MCL', 'BOR'})",102.3,136.1,22.0,-0.2899999999999999,63.0,0.55,99.55,0.7546619249372034,0.9676596468195926,-0.5740296785371692,0.04264605160553553,-0.04255303714742015,2
"frozenset({'PIA', 'HUL', 'RUS', 'WIL', 'KCK', 'SAI', 'BOR'})",92.19999999999999,136.0258,33.4,0.05999999999999994,31.0,0.887,83.5129,0.14308344344226345,0.9663759852587077,-0.17645226079906662,0.28067903762404317,-0.04863797910253459,2
"frozenset({'PIA', 'MCL', 'ALB', 'RUS', 'DOO', 'KCK', 'BOR'})",106.0,88.22579999999999,33.4,0.3499999999999999,5.0,0.887,46.612899999999996,-0.3538240727723753,0.13943497972898025,0.15296902818393282,0.14755540880195178,-0.04974821219859045,2
"frozenset({'PIA', 'HUL', 'ALO', 'WIL', 'KCK', 'SAI', 'BOR'})",76.1,123.0258,33.4,0.26,13.0,0.887,68.0129,-0.20092945239864032,0.7414757117882798,0.05073483505127791,0.32703118574607865,-0.04993087992868939,2
"frozenset({'PIA', 'MCL', 'ALB', 'DOO', 'ALO', 'KCK', 'BOR'})",89.89999999999999,75.2258,33.4,0.55,-13.0,0.887,31.112900000000003,-0.6978369686132792,-0.0854652937414474,0.38015612403427734,0.19390755692398742,-0.05104111302474529,2
"frozenset({'PIA', 'HUL', 'RUS', 'DOO', 'WIL', 'MCL', 'BOR'})",110.6,87.22579999999999,33.4,0.38,2.0,0.887,44.612899999999996,-0.41115955541252597,0.12213495869279349,0.18704709256148458,0.16108223901400814,-0.052235566628119665,2
"frozenset({'PIA', 'HUL', 'DOO', 'ALO', 'WIL', 'MCL', 'BOR'})",94.5,74.22579999999999,33.4,0.5800000000000002,-16.0,0.887,29.112899999999996,-0.7551724512534298,-0.10276531477763441,0.4142341884118292,0.20743438713604373,-0.05352846745427442,2
"frozenset({'MCL', 'ALB', 'RUS', 'ALO', 'KCK', 'SAI', 'BOR'})",93.6,152.79999999999998,20.2,-0.31999999999999995,64.0,1.0,108.39999999999999,0.7737737524839203,1.2565699981239113,-0.6081077429147209,0.13776335350073204,-0.055355144755264374,2
"frozenset({'HUL', 'RUS', 'ALO', 'WIL', 'MCL', 'SAI', 'BOR'})",98.19999999999999,143.7,22.0,-0.29,61.0,0.55,102.35,0.7164382698437697,1.0991398066946119,-0.5740296785371692,0.09523811555554323,-0.057842499184793617,2
"frozenset({'PIA', 'MCL', 'RUS', 'DOO', 'KCK', 'SAI', 'BOR'})",101.89999999999999,95.8258,33.4,0.3499999999999999,3.0,0.887,49.4129,-0.3920477278658091,0.27091513960399977,0.15296902818393282,0.2001474727519596,-0.06503767423596395,2
"frozenset({'HUL', 'MCL', 'RUS', 'DOO', 'HAD', 'KCK', 'BOR'})",83.69999999999999,69.70000000000002,22.0,0.7199999999999999,-30.0,0.55,19.85000000000001,-1.0227380369074661,-0.18106174998320804,0.5732651555070699,0.27153439331095874,-0.06513612145874453,2
"frozenset({'PIA', 'MCL', 'DOO', 'ALO', 'KCK', 'SAI', 'BOR'})",85.79999999999998,82.8258,33.4,0.55,-15.0,0.887,33.9129,-0.7360606237067129,0.046014866133571884,0.38015612403427734,0.24649962087399513,-0.06633057506211876,2
"frozenset({'HUL', 'MCL', 'DOO', 'ALO', 'HAD', 'KCK', 'BOR'})",67.6,56.70000000000001,22.0,0.9199999999999999,-48.0,0.55,4.350000000000005,-1.3667509327483698,-0.4059620234536361,0.8004522513574145,0.3178865414329942,-0.06642902228489928,2
