Feature,Coefficient,driverId,driverRef
prev_driver_points_prop,-2.10959793785128,driver,driver
driverId_hadjar_num_fast_corners,-0.2142572812538605,859.0,hadjar
driverId_max_verstappen_strt_len_median,-0.084292423278495,830.0,max_verstappen
driverId_russell_num_slow_corners,-0.0595892586542295,847.0,russell
driverId_leclerc_num_fast_corners,0.1232190841595873,844.0,leclerc
driverId_norris_num_fast_corners,0.3779358739874326,846.0,norris
driverId_hulkenberg_strt_len_median,0.4149311523981655,807.0,hulkenberg
driverId_hamilton_num_fast_corners,0.4655054410195584,1.0,hamilton
driverId_gasly_num_slow_corners,0.5844222024210737,842.0,gasly
