team_comps,price,score,max_score,projected_gain,pred_score,weight,ensemble_score,centered_pred,centered_score,centered_gain,avg_value,pred_avg_value,team_diffs
"frozenset({'BEA', 'MCL', 'BOR', 'ANT', 'HAD', 'PIA', 'HAA'})",101.2,219.09700000000004,31.0,2.0,132.0,0.887,175.54850000000002,3.7467161429807705,2.8062207744501055,2.8532740739041396,2.8203367642863153,3.478683522257781,2
"frozenset({'MER', 'BEA', 'DOO', 'MCL', 'BOR', 'HAD', 'PIA'})",101.6,236.127,31.0,1.5,137.0,0.887,186.5635,3.964293043882105,3.3953720251097694,2.330511156455853,3.0759137645135946,3.474158477654229,0
"frozenset({'BEA', 'DOO', 'MCL', 'BOR', 'ANT', 'PIA', 'HAA'})",101.7,217.42700000000002,31.0,1.6,133.0,0.887,175.2135,3.790231523161037,2.7484472812850056,2.4350637399455106,2.654432218883157,3.383681188196379,2
"frozenset({'BEA', 'MCL', 'ALP', 'BOR', 'HAD', 'PIA', 'RUS'})",102.0,206.59699999999998,31.0,2.1,127.0,0.887,166.7985,3.5291392420794354,2.3737844483640314,2.9578266573937966,2.548997111072961,3.3577454666737436,2
"frozenset({'OCO', 'BEA', 'DOO', 'MCL', 'HAD', 'PIA', 'HAA'})",91.9,208.42700000000002,31.0,1.7999999999999998,130.0,0.887,169.2135,3.6596853826202365,2.437093126503034,2.6441689069248246,2.499215860629571,3.3550304399116126,2
"frozenset({'OCO', 'BEA', 'MCL', 'BOR', 'HAD', 'PIA', 'HAA'})",90.80000000000001,206.59700000000004,31.0,2.0,126.0,0.887,166.29850000000002,3.4856238618991684,2.3737844483640336,2.8532740739041396,2.5176313360260654,3.2959189255006596,2
"frozenset({'DOO', 'MCL', 'BOR', 'HAD', 'PIA', 'RUS', 'HAA'})",101.2,216.22700000000003,31.0,1.2999999999999998,131.0,0.887,173.61350000000002,3.7032007628005035,2.7069333939807434,2.1214059894765387,2.5312751726294818,3.228662330803314,2
"frozenset({'BEA', 'DOO', 'MCL', 'ALP', 'ANT', 'HAD', 'PIA'})",100.80000000000001,205.627,31.0,1.7999999999999998,125.0,0.887,165.3135,3.4421084817189014,2.3402273894597534,2.6441689069248246,2.4314098446992745,3.202726609280678,2
"frozenset({'BEA', 'DOO', 'MCL', 'BOR', 'HAD', 'PIA', 'HAA'})",87.10000000000001,200.92700000000002,31.0,1.7999999999999998,125.0,0.887,162.9635,3.4421084817189014,2.1776313308513906,2.6441689069248246,2.317592603673421,3.202726609280678,1
"frozenset({'OCO', 'BEA', 'DOO', 'MCL', 'BOR', 'PIA', 'HAA'})",91.30000000000001,204.92700000000002,31.0,1.6,127.0,0.887,165.9635,3.5291392420794354,2.3160109551989336,2.4350637399455106,2.3517267906229065,3.200916591439258,2
"frozenset({'OCO', 'BEA', 'MCL', 'STR', 'HAD', 'PIA', 'HAA'})",96.0,212.59700000000004,31.0,1.4,129.0,0.887,170.79850000000002,3.6161700024399694,2.581353884885348,2.225958572966196,2.4747352913096026,3.1991065735978372,3
"frozenset({'OCO', 'BEA', 'MCL', 'HAD', 'LAW', 'PIA', 'HAA'})",93.50000000000001,205.59700000000004,31.0,1.4,128.0,0.887,166.79850000000002,3.5726546222597024,2.339189542277148,2.225958572966196,2.305220251483862,3.16864580747165,3
"frozenset({'BEA', 'DOO', 'MCL', 'TSU', 'HAD', 'PIA', 'HAA'})",99.0,207.42700000000002,31.0,1.2,130.0,0.887,168.7135,3.6596853826202365,2.402498220416148,2.0168534059868817,2.2868047760873678,3.1668357896302295,2
"frozenset({'BEA', 'MCL', 'ALP', 'BOR', 'ANT', 'HAD', 'PIA'})",99.7,203.79700000000003,31.0,2.0,121.0,0.887,162.3985,3.2680469609978338,2.2769187113207527,2.8532740739041396,2.4498253200957687,3.1436150948697255,2
"frozenset({'RB', 'BEA', 'MCL', 'BOR', 'ANT', 'HAD', 'PIA'})",101.0,217.29700000000003,31.0,2.0,121.0,0.887,169.1485,3.2680469609978338,2.743949943493711,2.8532740739041396,2.7767471826168393,3.1436150948697255,2
"frozenset({'AST', 'BEA', 'MCL', 'BOR', 'HAD', 'PIA', 'RUS'})",101.8,202.09699999999998,31.0,1.7000000000000002,124.0,0.887,163.0485,3.3985931015386344,2.2181073709730454,2.539616323435168,2.314560056711682,3.1409000681075945,2
"frozenset({'OCO', 'BEA', 'MCL', 'GAS', 'HAD', 'PIA', 'HAA'})",95.7,206.757,31.0,1.4,127.0,0.887,166.8785,3.5291392420794354,2.379319633337934,2.225958572966196,2.333311315226412,3.1381850413454635,3
"frozenset({'BEA', 'MCL', 'TSU', 'BOR', 'HAD', 'PIA', 'HAA'})",97.9,205.59700000000004,31.0,1.4,126.0,0.887,165.79850000000002,3.4856238618991684,2.339189542277148,2.225958572966196,2.305220251483862,3.1077242752192764,2
"frozenset({'BEA', 'DOO', 'MCL', 'STR', 'HAD', 'PIA', 'HAA'})",92.30000000000001,206.92700000000002,31.0,1.2,128.0,0.887,167.4635,3.5726546222597024,2.385200767372705,2.0168534059868817,2.274696558956958,3.1059142573778558,2
