n,Accuracy,F1 Score,Acc_Max,Acc_Min,F1_Max,F1_Min
2.0,0.7754385964912283,0.25396825396825395,0.9,0.6842105263157895,0.6666666666666666,0.0
3.0,0.7852130325814537,0.2857142857142857,0.9,0.7,0.6666666666666666,0.0
4.0,0.7949874686716792,0.31746031746031744,0.9,0.7,0.6666666666666666,0.0
5.0,0.7997493734335839,0.3333333333333333,0.9,0.7,0.6666666666666666,0.0
6.0,0.7994987468671678,0.3333333333333333,1.0,0.7,1.0,0.0
7.0,0.7852130325814538,0.2857142857142857,0.9,0.7,0.6666666666666666,0.0
8.0,0.7807017543859651,0.26984126984126977,0.9,0.7,0.6666666666666666,0.0
9.0,0.7711779448621554,0.23809523809523808,0.9,0.7,0.6666666666666666,0.0
10.0,0.7807017543859651,0.26984126984126977,0.9,0.7,0.6666666666666666,0.0
