Feature,Coefficient
prev_driver_position,-1.9368184277884344
prev_driver_wins,0.26595025098187164
prev_construct_position,1.1646220892528676
prev_construct_wins,0.05248749370793004
driverId_857.0-strt_len_median,0.0
driverId_847.0-strt_len_median,-1.982680946527355
driverId_846.0-strt_len_median,1.099091721826388
driverId_844.0-strt_len_median,-6.676284784611476
driverId_1.0-strt_len_median,-6.495833565295214
driverId_830.0-strt_len_median,-0.0
driverId_842.0-strt_len_median,-7.809333693056513
driverId_839.0-strt_len_median,0.0
driverId_852.0-strt_len_median,-0.01010263820999789
driverId_859.0-strt_len_median,1.129766376208766
driverId_862.0-strt_len_median,1.9163431082003723
driverId_848.0-strt_len_median,0.5959379462808051
driverId_865.0-strt_len_median,-0.0
driverId_864.0-strt_len_median,-0.3522374411588752
driverId_4.0-strt_len_median,-1.9638661333044651
driverId_861.0-strt_len_median,0.0
driverId_840.0-strt_len_median,0.9956611256527834
driverId_863.0-strt_len_median,1.468955299553836
driverId_832.0-strt_len_median,3.666779507451482
driverId_807.0-strt_len_median,1.9557903926752314
driverId_857.0-strt_len_min,0.0
driverId_847.0-strt_len_min,-0.0
driverId_846.0-strt_len_min,0.0
driverId_844.0-strt_len_min,-0.0
driverId_1.0-strt_len_min,-0.0
driverId_830.0-strt_len_min,-0.0
driverId_842.0-strt_len_min,-0.0
driverId_839.0-strt_len_min,0.0
driverId_852.0-strt_len_min,-0.33023794321279015
driverId_859.0-strt_len_min,0.0
driverId_862.0-strt_len_min,0.0
driverId_848.0-strt_len_min,0.0
driverId_865.0-strt_len_min,-0.0
driverId_864.0-strt_len_min,-0.18284957186593365
driverId_4.0-strt_len_min,-0.0
driverId_861.0-strt_len_min,0.0
driverId_840.0-strt_len_min,0.6516147033568273
driverId_863.0-strt_len_min,0.0
driverId_832.0-strt_len_min,0.0
driverId_807.0-strt_len_min,0.0
driverId_857.0-avg_track_spd,0.0
driverId_847.0-avg_track_spd,-0.0
driverId_846.0-avg_track_spd,0.0
driverId_844.0-avg_track_spd,-0.0
driverId_1.0-avg_track_spd,-0.0
driverId_830.0-avg_track_spd,-0.0
driverId_842.0-avg_track_spd,-0.0
driverId_839.0-avg_track_spd,0.0
driverId_852.0-avg_track_spd,-0.0
driverId_859.0-avg_track_spd,0.0
driverId_862.0-avg_track_spd,0.0
driverId_848.0-avg_track_spd,0.0
driverId_865.0-avg_track_spd,-0.009874738020921143
