Feature,Coefficient
driverId_839.0-num_fast_corners,0.9695966228436598
driverId_852.0-num_fast_corners,0.42227001670474784
driverId_859.0-num_fast_corners,-1.2765448647932924
driverId_862.0-num_fast_corners,-0.0
driverId_848.0-num_fast_corners,-0.5412369996745079
driverId_865.0-num_fast_corners,-0.5838513021348342
driverId_864.0-num_fast_corners,1.027223085774839
driverId_4.0-num_fast_corners,-0.0
driverId_861.0-num_fast_corners,-0.24322580899332527
driverId_840.0-num_fast_corners,0.2844239741399863
driverId_863.0-num_fast_corners,0.0
driverId_832.0-num_fast_corners,0.7322153254940574
driverId_807.0-num_fast_corners,0.12056824046844827
prev_construct_points_prop,-0.010811364674315493
prev_driver_points_prop,-1.6854298405647785
driverId_857.0,-0.0
driverId_847.0,-0.0
driverId_846.0,-0.0
driverId_844.0,-0.0
driverId_1.0,-0.0
driverId_830.0,0.0
driverId_842.0,-0.0
driverId_839.0,0.0
driverId_852.0,-0.0
driverId_859.0,0.0
driverId_862.0,-0.0
driverId_848.0,0.0
driverId_865.0,0.0
driverId_864.0,-0.0
driverId_4.0,0.0
driverId_861.0,0.0
driverId_840.0,0.0
driverId_863.0,0.0
driverId_832.0,-0.0
driverId_807.0,0.0
constructorId_1.0,-0.0
constructorId_131.0,-0.0
constructorId_6.0,-0.0
constructorId_9.0,0.0
constructorId_214.0,-0.0
constructorId_210.0,0.0
constructorId_3.0,0.0
constructorId_215.0,-0.0
constructorId_117.0,0.0
constructorId_15.0,0.0
