Feature,Coefficient
prev_driver_position,0.0
prev_driver_wins,-0.0
prev_construct_position,0.02313273121771786
prev_construct_wins,-0.0
driverId_857.0-strt_len_median,-0.0
driverId_846.0-strt_len_median,0.0
driverId_847.0-strt_len_median,-0.08690308178237094
driverId_830.0-strt_len_median,-0.0
driverId_848.0-strt_len_median,0.0
driverId_862.0-strt_len_median,-0.0
driverId_844.0-strt_len_median,-0.0
driverId_1.0-strt_len_median,-0.0
driverId_832.0-strt_len_median,0.0
driverId_852.0-strt_len_median,0.0
driverId_865.0-strt_len_median,-0.0
driverId_839.0-strt_len_median,0.0
driverId_842.0-strt_len_median,-0.0
driverId_807.0-strt_len_median,0.0
driverId_4.0-strt_len_median,0.0
driverId_840.0-strt_len_median,0.7837902544249082
driverId_861.0-strt_len_median,0.2551757442844076
driverId_863.0-strt_len_median,0.0
driverId_859.0-strt_len_median,0.0
driverId_864.0-strt_len_median,0.0
driverId_857.0-strt_len_min,-0.2911552371418801
driverId_846.0-strt_len_min,0.0
driverId_847.0-strt_len_min,-0.0
driverId_830.0-strt_len_min,-0.0
driverId_848.0-strt_len_min,0.05595792473408602
driverId_862.0-strt_len_min,-0.0
driverId_844.0-strt_len_min,-1.178399346988295
driverId_1.0-strt_len_min,-0.3073934407249896
driverId_832.0-strt_len_min,0.0
driverId_852.0-strt_len_min,0.0
driverId_865.0-strt_len_min,-0.12022527406164193
driverId_839.0-strt_len_min,0.6651265973413635
driverId_842.0-strt_len_min,-1.1516563483092752
driverId_807.0-strt_len_min,0.0
driverId_4.0-strt_len_min,-0.0
driverId_840.0-strt_len_min,0.0804291839521529
driverId_861.0-strt_len_min,0.0
driverId_863.0-strt_len_min,0.6536354454399184
driverId_859.0-strt_len_min,0.0
driverId_864.0-strt_len_min,0.0
driverId_857.0-avg_track_spd,-0.0
driverId_846.0-avg_track_spd,0.0
driverId_847.0-avg_track_spd,-0.0
driverId_830.0-avg_track_spd,-0.0
driverId_848.0-avg_track_spd,-0.0
driverId_862.0-avg_track_spd,-0.0
driverId_844.0-avg_track_spd,-0.0
driverId_1.0-avg_track_spd,-0.0
driverId_832.0-avg_track_spd,-0.0
driverId_852.0-avg_track_spd,0.0
driverId_865.0-avg_track_spd,-0.0
driverId_839.0-avg_track_spd,0.0
driverId_842.0-avg_track_spd,0.0
driverId_807.0-avg_track_spd,0.0
driverId_4.0-avg_track_spd,0.0
driverId_840.0-avg_track_spd,0.25096298886165175
driverId_861.0-avg_track_spd,0.0
driverId_863.0-avg_track_spd,0.0
driverId_859.0-avg_track_spd,0.0
driverId_864.0-avg_track_spd,0.0
driverId_857.0-corner_spd_median,-0.0
driverId_846.0-corner_spd_median,0.0
driverId_847.0-corner_spd_median,-0.0
driverId_830.0-corner_spd_median,-0.0
driverId_848.0-corner_spd_median,-0.0
driverId_862.0-corner_spd_median,-0.0
driverId_844.0-corner_spd_median,-0.0
driverId_1.0-corner_spd_median,-0.0
driverId_832.0-corner_spd_median,-0.0
driverId_852.0-corner_spd_median,0.0
driverId_865.0-corner_spd_median,-0.0
driverId_839.0-corner_spd_median,0.0
driverId_842.0-corner_spd_median,0.0
driverId_807.0-corner_spd_median,0.0
driverId_4.0-corner_spd_median,0.0
driverId_840.0-corner_spd_median,0.0
driverId_861.0-corner_spd_median,0.0
driverId_863.0-corner_spd_median,0.0
driverId_859.0-corner_spd_median,0.0
driverId_864.0-corner_spd_median,0.0
driverId_857.0-corner_spd_max,-0.0
driverId_846.0-corner_spd_max,-0.0
driverId_847.0-corner_spd_max,-0.0
driverId_830.0-corner_spd_max,-0.0
driverId_848.0-corner_spd_max,-0.0
driverId_862.0-corner_spd_max,-0.0
driverId_844.0-corner_spd_max,-0.0
driverId_1.0-corner_spd_max,0.0
driverId_832.0-corner_spd_max,-0.0
driverId_852.0-corner_spd_max,0.0
driverId_865.0-corner_spd_max,-0.0
driverId_839.0-corner_spd_max,0.0
driverId_842.0-corner_spd_max,0.0
driverId_807.0-corner_spd_max,0.0
driverId_4.0-corner_spd_max,0.0
driverId_840.0-corner_spd_max,0.0
driverId_861.0-corner_spd_max,0.0
driverId_863.0-corner_spd_max,0.0
driverId_859.0-corner_spd_max,0.0
driverId_864.0-corner_spd_max,0.0
driverId_857.0-corner_spd_min,-0.0
driverId_846.0-corner_spd_min,0.0
driverId_847.0-corner_spd_min,-0.34185647013453535
driverId_830.0-corner_spd_min,-0.0
driverId_848.0-corner_spd_min,-0.0
driverId_862.0-corner_spd_min,-0.0
driverId_844.0-corner_spd_min,-0.0
driverId_1.0-corner_spd_min,-0.0
driverId_832.0-corner_spd_min,-0.0
driverId_852.0-corner_spd_min,0.0
driverId_865.0-corner_spd_min,-0.0
driverId_839.0-corner_spd_min,0.0
driverId_842.0-corner_spd_min,0.0
driverId_807.0-corner_spd_min,0.821719426960383
driverId_4.0-corner_spd_min,0.0
driverId_840.0-corner_spd_min,0.0
driverId_861.0-corner_spd_min,0.0
driverId_863.0-corner_spd_min,0.0
driverId_859.0-corner_spd_min,0.0
driverId_864.0-corner_spd_min,0.0
driverId_857.0-num_slow_corners,-0.0
driverId_846.0-num_slow_corners,-0.0
driverId_847.0-num_slow_corners,-0.013829697813125411
driverId_830.0-num_slow_corners,-0.40630834122419685
driverId_848.0-num_slow_corners,-0.17519670268383136
driverId_862.0-num_slow_corners,-0.5599039209812601
driverId_844.0-num_slow_corners,-0.0
driverId_1.0-num_slow_corners,0.08015577836412296
driverId_832.0-num_slow_corners,-0.5814670217322696
driverId_852.0-num_slow_corners,0.0
driverId_865.0-num_slow_corners,-0.0
driverId_839.0-num_slow_corners,-0.35322931381286854
driverId_842.0-num_slow_corners,0.95335940508123
driverId_807.0-num_slow_corners,0.0
driverId_4.0-num_slow_corners,0.46492439790487977
driverId_840.0-num_slow_corners,0.25395672689010174
driverId_861.0-num_slow_corners,0.2210532578212049
driverId_863.0-num_slow_corners,0.0
driverId_859.0-num_slow_corners,1.0294075225061083
driverId_864.0-num_slow_corners,0.0
driverId_857.0-num_fast_corners,-0.0
driverId_846.0-num_fast_corners,0.10171064061386204
driverId_847.0-num_fast_corners,-0.0
driverId_830.0-num_fast_corners,-0.7546188958703872
driverId_848.0-num_fast_corners,-0.0
driverId_862.0-num_fast_corners,-0.0
driverId_844.0-num_fast_corners,-0.0
driverId_1.0-num_fast_corners,-0.0
driverId_832.0-num_fast_corners,-0.0
driverId_852.0-num_fast_corners,-0.0
driverId_865.0-num_fast_corners,-0.0
driverId_839.0-num_fast_corners,0.5132078113350621
driverId_842.0-num_fast_corners,0.0
