[DRIVER]: NOR [PRED]: [[1.73]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
[DRIVER]: ALO [PRED]: [[12.14]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_4.0-num_slow_corners       4.358899      -0.897271
prev_construct_points_prop         -0.625946      -0.334889
driverId_807.0-corner_spd_min      -0.229416      -0.196523
driverId_848.0-num_slow_corners    -0.229416      -0.152733
driverId_839.0-num_slow_corners    -0.229416      -0.116667
driverId_807.0-num_slow_corners    -0.229416      -0.088101
driverId_807.0-strt_len_min        -0.229416      -0.072619
driverId_839.0-strt_len_min        -0.229416      -0.072254
driverId_852.0-num_slow_corners    -0.229416      -0.071935
driverId_861.0-num_med_corners     -0.229416      -0.049195
driverId_832.0-strt_len_median     -0.229416      -0.044921
driverId_840.0-strt_len_min        -0.229416      -0.040457
driverId_860.0-strt_len_min        -0.229416      -0.025424
driverId_832.0-strt_len_min        -0.229416      -0.025153
driverId_852.0-strt_len_min        -0.229416      -0.021869
driverId_860.0-num_fast_corners    -0.229416      -0.013634
driverId_852.0-num_fast_corners    -0.229416      -0.010713
driverId_842.0-num_fast_corners    -0.229416      -0.010058
driverId_840.0-num_fast_corners    -0.229416      -0.010047
driverId_842.0-num_slow_corners    -0.229416      -0.008393
driverId_842.0-strt_len_min        -0.229416       0.005236
driverId_864.0-num_fast_corners    -0.229416       0.007059
driverId_864.0-num_slow_corners    -0.229416       0.009547
driverId_862.0-num_fast_corners    -0.229416       0.010747
driverId_864.0-strt_len_min        -0.229416       0.018177
driverId_862.0-strt_len_min        -0.229416       0.023966
driverId_840.0-num_slow_corners    -0.229416       0.071817
driverId_1.0-strt_len_min          -0.229416       0.090925
driverId_848.0-num_fast_corners    -0.229416       0.134973
driverId_4.0-num_fast_corners       4.358899       0.561043
prev_driver_points_prop            -0.589724       3.243471

[DRIVER]: BOR [PRED]: [[11.67]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_832.0-strt_len_median     -0.229416      -0.169041
driverId_852.0-num_slow_corners    -0.229416      -0.167768
driverId_860.0-strt_len_min        -0.229416      -0.136045
driverId_840.0-strt_len_min        -0.229416      -0.123368
driverId_860.0-num_fast_corners    -0.229416      -0.120347
prev_construct_points_prop         -0.605841      -0.101717
driverId_832.0-strt_len_min        -0.229416      -0.063669
driverId_807.0-num_slow_corners    -0.229416      -0.061318
driverId_807.0-corner_spd_min      -0.229416      -0.061082
driverId_839.0-strt_len_min        -0.229416      -0.060441
driverId_852.0-strt_len_min        -0.229416      -0.058163
driverId_861.0-num_med_corners     -0.229416      -0.054546
driverId_807.0-strt_len_min        -0.229416      -0.054176
driverId_848.0-num_slow_corners    -0.229416      -0.049319
driverId_852.0-num_fast_corners    -0.229416      -0.041486
driverId_842.0-num_slow_corners    -0.229416      -0.034521
driverId_839.0-num_slow_corners    -0.229416      -0.029381
driverId_840.0-num_fast_corners    -0.229416      -0.027082
driverId_862.0-num_fast_corners    -0.229416      -0.021281
driverId_864.0-num_slow_corners     4.358899      -0.005277
driverId_4.0-num_fast_corners      -0.229416       0.007628
driverId_848.0-num_fast_corners    -0.229416       0.027667
driverId_842.0-strt_len_min        -0.229416       0.028939
driverId_842.0-num_fast_corners    -0.229416       0.035079
driverId_862.0-strt_len_min        -0.229416       0.043536
driverId_1.0-strt_len_min          -0.229416       0.054054
driverId_840.0-num_slow_corners    -0.229416       0.068534
driverId_864.0-num_fast_corners     4.358899       0.078635
driverId_864.0-strt_len_min         4.358899       0.087454
driverId_4.0-num_slow_corners      -0.229416       0.169030
prev_driver_points_prop            -0.735873       2.283578

[DRIVER]: HUL [PRED]: [[16.61]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
prev_construct_points_prop         -0.605841      -0.358018
driverId_848.0-num_slow_corners    -0.229416      -0.076238
driverId_839.0-strt_len_min        -0.229416      -0.069488
driverId_852.0-num_slow_corners    -0.229416      -0.059951
driverId_861.0-num_med_corners     -0.229416      -0.051080
driverId_832.0-strt_len_min        -0.229416      -0.020401
driverId_832.0-strt_len_median     -0.229416      -0.018927
driverId_840.0-strt_len_min        -0.229416      -0.013637
driverId_852.0-num_fast_corners    -0.229416      -0.012635
driverId_852.0-strt_len_min        -0.229416      -0.009892
driverId_842.0-num_slow_corners    -0.229416      -0.007834
driverId_860.0-num_fast_corners    -0.229416      -0.007761
