[DRIVER]: NOR [PRED]: [[1.73]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_860.0-strt_len_min        -0.229416      -0.016235
driverId_862.0-num_fast_corners    -0.229416      -0.011403
driverId_840.0-num_fast_corners    -0.229416      -0.011095
driverId_842.0-num_fast_corners    -0.229416       0.003019
driverId_864.0-strt_len_min        -0.229416       0.006013
driverId_842.0-strt_len_min        -0.229416       0.009199
driverId_864.0-num_fast_corners    -0.229416       0.011951
driverId_852.0-num_fast_corners    -0.229416       0.022390
driverId_864.0-num_slow_corners    -0.229416       0.022622
driverId_1.0-num_med_corners       -0.229416       0.034509
driverId_862.0-strt_len_min        -0.229416       0.057470
driverId_840.0-num_slow_corners    -0.229416       0.084036
driverId_1.0-strt_len_min          -0.229416       0.131722
driverId_4.0-num_slow_corners      -0.229416       0.152073
driverId_848.0-num_fast_corners    -0.229416       0.197620
prev_construct_points_prop          0.540164       0.314193
driverId_861.0-num_med_corners      4.358899       0.492991
prev_driver_points_prop            -0.175635       3.368161

[DRIVER]: SAI [PRED]: [[14.79]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_852.0-num_slow_corners    -0.229416      -0.147805
driverId_860.0-strt_len_min        -0.229416      -0.108835
driverId_840.0-strt_len_min        -0.229416      -0.092936
driverId_860.0-num_fast_corners    -0.229416      -0.062259
driverId_852.0-strt_len_min        -0.229416      -0.057810
driverId_807.0-num_slow_corners    -0.229416      -0.056628
driverId_807.0-strt_len_min        -0.229416      -0.053886
driverId_807.0-corner_spd_min      -0.229416      -0.050994
driverId_848.0-num_slow_corners    -0.229416      -0.046203
driverId_839.0-strt_len_min        -0.229416      -0.043285
driverId_861.0-num_med_corners     -0.229416      -0.041143
driverId_840.0-num_fast_corners    -0.229416      -0.030745
driverId_842.0-num_slow_corners    -0.229416      -0.030515
driverId_839.0-num_slow_corners    -0.229416      -0.018147
driverId_864.0-num_fast_corners    -0.229416      -0.004193
driverId_1.0-num_med_corners       -0.229416      -0.002157
driverId_862.0-num_fast_corners    -0.229416       0.008092
driverId_852.0-num_fast_corners    -0.229416       0.014967
driverId_864.0-strt_len_min        -0.229416       0.015952
driverId_4.0-num_fast_corners      -0.229416       0.018458
driverId_848.0-num_fast_corners    -0.229416       0.028851
driverId_842.0-num_fast_corners    -0.229416       0.031490
driverId_842.0-strt_len_min        -0.229416       0.035676
driverId_1.0-strt_len_min          -0.229416       0.049717
driverId_840.0-num_slow_corners    -0.229416       0.066912
driverId_862.0-strt_len_min        -0.229416       0.071820
driverId_864.0-num_slow_corners    -0.229416       0.079095
driverId_4.0-num_slow_corners      -0.229416       0.144810
prev_construct_points_prop         -0.498612       0.240961
driverId_832.0-strt_len_min         4.358899       1.167932
driverId_832.0-strt_len_median      4.358899       1.341348
prev_driver_points_prop            -0.748052       2.095565

