driverId_846.0-strt_len_min        -0.229416       0.055436
driverId_846.0-num_slow_corners    -0.229416       0.075314

[DRIVER]: LEC [PRED]: [[3.73]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_844.0-strt_len_median      4.358899      -3.039439
prev_construct_position            -1.218544      -3.017471
driverId_844.0-num_med_corners      4.358899      -0.773490
driverId_861.0-strt_len_min        -0.229416      -0.448131
driverId_861.0-num_fast_corners    -0.229416      -0.196063
driverId_844.0-num_slow_corners     4.358899      -0.117150
driverId_1.0-num_fast_corners      -0.229416      -0.092768
driverId_830.0-strt_len_min        -0.229416      -0.083449
driverId_846.0-num_slow_corners    -0.229416      -0.067839
driverId_1.0-strt_len_min          -0.229416      -0.033766
driverId_846.0-strt_len_min        -0.229416      -0.026839
driverId_846.0-num_fast_corners    -0.229416      -0.023017
driverId_832.0-strt_len_min        -0.229416      -0.016096
driverId_861.0-num_med_corners     -0.229416      -0.009961
driverId_859.0-num_fast_corners    -0.229416      -0.009079
driverId_852.0-strt_len_min        -0.229416      -0.007978
driverId_859.0-num_med_corners     -0.229416      -0.004188
driverId_860.0-num_slow_corners    -0.229416      -0.003987
driverId_832.0-strt_len_median     -0.229416      -0.002870
driverId_807.0-num_fast_corners    -0.229416      -0.002294
driverId_848.0-num_fast_corners    -0.229416       0.000761
driverId_830.0-num_fast_corners    -0.229416       0.004500
driverId_830.0-num_med_corners     -0.229416       0.009322
driverId_4.0-num_slow_corners      -0.229416       0.009670
driverId_857.0-num_fast_corners    -0.229416       0.010824
driverId_847.0-num_med_corners     -0.229416       0.204743
prev_driver_wins                   -0.410152       1.037781

[DRIVER]: HAM [PRED]: [[7.1]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
prev_construct_position            -1.218544      -2.533604
driverId_1.0-strt_len_min           4.358899      -2.013272
driverId_861.0-strt_len_min        -0.229416      -0.460636
driverId_861.0-num_fast_corners    -0.229416      -0.231041
driverId_846.0-num_slow_corners    -0.229416      -0.060705
driverId_830.0-strt_len_min        -0.229416      -0.048725
driverId_846.0-strt_len_min        -0.229416      -0.048335
driverId_832.0-strt_len_min        -0.229416      -0.021295
driverId_859.0-num_fast_corners    -0.229416      -0.017728
driverId_846.0-num_fast_corners    -0.229416      -0.017213
driverId_832.0-strt_len_median     -0.229416      -0.014066
driverId_852.0-strt_len_min        -0.229416      -0.013432
driverId_860.0-num_slow_corners    -0.229416      -0.009198
driverId_859.0-num_med_corners     -0.229416      -0.007337
driverId_848.0-num_med_corners     -0.229416      -0.005790
driverId_832.0-num_fast_corners    -0.229416      -0.003710
driverId_839.0-num_slow_corners    -0.229416      -0.002663
driverId_1.0-num_fast_corners       4.358899      -0.002494
driverId_842.0-num_slow_corners    -0.229416      -0.002311
driverId_842.0-num_fast_corners    -0.229416       0.002788
driverId_848.0-num_fast_corners    -0.229416       0.004751
driverId_848.0-strt_len_min        -0.229416       0.007322
driverId_4.0-num_fast_corners      -0.229416       0.007515
driverId_840.0-strt_len_min        -0.229416       0.008187
