FP2,Race,Qual,RedBull,Mercedes,Ferrari,AstonMartin,Alpine,McLaren,AlfaRomeo,Haas,Williams,AlphaTauri
5,1,2,1,0,0,0,0,0,0,0,0,0
7,2,5,1,0,0,0,0,0,0,0,0,0
1,20,1,0,0,1,0,0,0,0,0,0,0
4,4,3,0,0,1,0,0,0,0,0,0,0
2,3,4,0,1,0,0,0,0,0,0,0,0
3,5,6,0,1,0,0,0,0,0,0,0,0
20,8,11,0,0,0,0,0,1,0,0,0,0
15,12,9,0,0,0,0,0,1,0,0,0,0
9,7,12,0,0,0,0,1,0,0,0,0,0
6,9,17,0,0,0,0,1,0,0,0,0,0
13,15,18,0,0,0,1,0,0,0,0,0,0
8,11,16,0,0,0,1,0,0,0,0,0,0
17,19,15,0,0,0,0,0,0,1,0,0,0
16,6,7,0,0,0,0,0,0,1,0,0,0
14,10,13,0,0,0,0,0,0,0,0,0,1
11,13,14,0,0,0,0,0,0,0,0,0,1
18,18,19,0,0,0,0,0,0,0,0,1,0
19,16,20,0,0,0,0,0,0,0,0,1,0
12,17,8,0,0,0,0,0,0,0,1,0,0
10,14,10,0,0,0,0,0,0,0,1,0,0
