prob of top 3 finish,prob of bottom 17 finish,driver name
0.34487765007427396,0.655122349925726,Lando Norris
0.957301336195628,0.04269866380437204,Max Verstappen
0.6745758794010595,0.32542412059894055,Charles Leclerc
0.9240580299107104,0.0759419700892896,Sergio Perez
0.2944696715258679,0.7055303284741321,Carlos Sainz
0.1542223114016683,0.8457776885983317,Lewis Hamilton
0.10484972009082637,0.8951502799091736,Yuki Tsunoda
0.2772516600618015,0.7227483399381984,George Russell
0.16246605960383487,0.8375339403961651,Fernando Alonso
0.05129763717170188,0.9487023628282981,Esteban Ocon
0.06631308184138315,0.9336869181586168,Nico Hulkenberg
0.03660010914032271,0.9633998908596773,Pierre Gasly
0.14155017465251002,0.8584498253474899,Oscar Piastri
0.028709271706761963,0.971290728293238,Guanyu Zhou
0.02874192903733291,0.9712580709626671,Daniel Ricciardo
0.02064148249998761,0.9793585175000123,Valtteri Bottas
0.07572231936945822,0.9242776806305417,Lance Stroll
0.016014368227950854,0.9839856317720491,Alexander Albon
0.04620872762270925,0.9537912723772908,Kevin Magnussen
0.013556771423849708,0.9864432285761503,Logan Sargeant
